,title,price,shop,commit
0,Python编程（第4版 套装上下册）,178.20,京东自营,3.4万+
1,Python编程 从入门到实践,62.00,人民邮电出版社,26万+
2,零基础学Python（全彩版）,53.40,明日科技京东自营旗舰店,10万+
3,疯狂Python讲义,103.80,电子工业出版社,4.7万+
4,Python从入门到项目实践（全彩版）,67.60,明日科技京东自营旗舰店,10万+
5,Python学习手册（套装上下册）（原书第5版）,163.00,机械工业出版社,1.7万+
6,利用Python进行数据分析（原书第2版）,113.10,机械工业出版社,4.6万+
7,Python基础教程（第3版）,94.10,人民邮电出版社,26万+
8,Python编程快速上手 让繁琐工作自动化,57.80,人民邮电出版社,26万+
9,Python从小白到大牛,75.70,清华大学出版社,18万+
10,Python核心编程（第3版）,82.90,人民邮电出版社,26万+
11,Python项目开发案例集锦（全彩版）,87.50,明日科技京东自营旗舰店,10万+
12,Python全栈开发三剑客 （京东套装共3册）,219.00,京东自营,
13,Python编程锦囊（全彩版）,54.90,明日科技京东自营旗舰店,10万+
14,Python零基础入门学习（第2版）,75.70,清华大学出版社,18万+
15,流畅的Python,132.10,人民邮电出版社,1.2万+
16,笨办法学Python 3,49.40,人民邮电出版社,26万+
17,对比Excel，轻松学习Python数据分析,51.90,电子工业出版社,3.1万+
18,Python Cookbook（第3版）中文版,90.50,人民邮电出版社,1万+
19,Python 3标准库,189.10,机械工业出版社,1.7万+
20,Python算法详解,65.60,人民邮电出版社,26万+
21,Python 3网络爬虫开发实战,79.00,人民邮电出版社,2.6万+
22,数据结构与算法：Python语言实现,103.60,机械工业出版社,5.5万+
23,Python Qt GUI与数据可视化编程,94.10,人民邮电出版社,26万+
24,Python从入门到精通（软件开发视频大讲堂）,75.80,清华大学出版社,1700+
25,Head First Python（第二版）,115.20,中国电力出版社,3.4万+
26,Python深度学习,94.90,人民邮电出版社,11万+
27,Python编程从零基础到项目实战（微课视频版）,55.20,中国水利水电出版社,4万+
28,基于Python的金融分析与风险管理,98.80,人民邮电出版社,2500+
29,Python神经网络编程,65.60,人民邮电出版社,11万+
30,教孩子学编程 Python语言版,56.10,人民邮电出版社,3.3万+
31,Python数据分析与挖掘实战,65.60,机械工业出版社,2.9万+
32,Python金融大数据挖掘与分析全流程详解,85.30,机械工业出版社,400+
33,Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材,28.70,高等教育出版社,9100+
34,基于Python的大数据分析基础及实战,66.30,中国水利水电出版社,4万+
35,Python程序员面试宝典 剑指offer,85.30,京东自营,4万+
36,Python自然语言处理,84.60,人民邮电出版社,26万+
37,Python在机器学习中的应用,75.80,中国水利水电出版社,4万+
38,强化学习：原理与Python实现,84.60,机械工业出版社,1.9万+
39,Python绝技：运用Python成为顶级黑客,75.10,电子工业出版社,2.1万+
40,Python 快速入门 第3版,84.60,人民邮电出版社,1.2万+
41,Selenium3自动化测试实战――基于Python语言,65.60,电子工业出版社,1.5万+
42,Python零基础入门学习-水木书荟,42.10,清华大学出版社,18万+
43,机器学习线性代数基础 Python语言描述,46.60,京东自营,2700+
44,Python自然语言处理实战：核心技术与算法,65.60,机械工业出版社,1.1万+
45,Python编程无师自通 专业程序员的养成,56.10,人民邮电出版社,26万+
46,数据结构 Python语言描述,65.60,人民邮电出版社,26万+
47,算法图解,39.10,人民邮电出版社,7.7万+
48,机器学习实战,65.60,人民邮电出版社,11万+
49,Python机器学习手册：从数据预处理到深度学习,84.60,电子工业出版社,500+
50,Python 3.7从零开始学,75.10,清华大学出版社,18万+
51,Effective Python：编写高质量Python代码的59个有效方法,56.10,机械工业出版社,4.3万+
52,Python核心编程 第3版(第3版),61.90,,1000+
53,PyTorch深度学习,46.10,人民邮电出版社,11万+
54,Python接口自动化测试,56.10,电子工业出版社,1.5万+
55,深度学习入门 基于Python的理论与实现,47.10,人民邮电出版社,11万+
56,Python游戏编程入门,46.60,人民邮电出版社,4200+
57,深入浅出Python机器学习,58.70,清华大学出版社,18万+
58,Python数据可视化之matplotlib实践,56.10,电子工业出版社,1.9万+
59,Python网络爬虫权威指南 第2版,63.00,人民邮电出版社,2.6万+
60,Python极客项目编程,62.10,人民邮电出版社,1200+
61,机器学习：使用OpenCV和Python进行智能图像处理,65.60,机械工业出版社,1万+
62,图解算法——使用Python,46.60,清华大学出版社,500+
63,Python算法教程,65.60,人民邮电出版社,26万+
64,Python从菜鸟到高手,121.60,清华大学出版社,18万+
65,你也能看得懂的Python算法书,56.10,电子工业出版社,2.3万+
66,趣学Python：教孩子学编程,56.10,人民邮电出版社,3.3万+
67,Python测试之道,56.80,人民邮电出版社,2.8万+
68,给Python点颜色 青少年学编程,56.80,人民邮电出版社,3.3万+
69,Python袖珍指南（第5版）,36.10,中国电力出版社,3.4万+
70,用Python写网络爬虫 第2版,46.60,人民邮电出版社,2.6万+
71,Python量化交易,94.10,电子工业出版社,2.5万+
72,精通Python爬虫框架Scrapy,56.10,人民邮电出版社,2.6万+
73,Python编程之美：最佳实践指南,84.60,电子工业出版社,2.3万+
74,零基础轻松学Python,56.10,电子工业出版社,3.1万+
75,Python 网络爬虫从入门到精通,75.10,机械工业出版社,1500+
76,谁说菜鸟不会数据分析（Python篇）,60.70,电子工业出版社,4.5万+
77,实战Python网络爬虫,80.40,清华大学出版社,300+
78,Python游戏编程快速上手 第4版,65.60,人民邮电出版社,1100+
79,Python高级编程 第2版,80.10,人民邮电出版社,2600+
80,自然语言处理入门,68.30,人民邮电出版社,700+
81,像计算机科学家一样思考Python 第2版,46.60,人民邮电出版社,3000+
82,Python统计分析,75.10,京东自营,1300+
83,小天才学Python,34.20,清华大学出版社,600+
84,Python 黑帽子：黑客与渗透测试编程之道,52.30,电子工业出版社,2.1万+
85,OpenCV轻松入门：面向Python,94.10,电子工业出版社,500+
86,图解Python--轻松快速掌握实力派脚本语言精华,66.40,中青雄狮京东自营店,300+
87,Python文本分析,75.10,机械工业出版社,1000+
88,Python深度学习：基于TensorFlow,75.10,机械工业出版社,1.9万+
89,Python树莓派编程,46.60,机械工业出版社,3300+
90,Python机器学习基础教程,63.00,人民邮电出版社,11万+
91,Python 3破冰人工智能 从入门到实战,56.10,人民邮电出版社,11万+
92,Python数据分析 第2版,62.10,人民邮电出版社,1400+
93,Python金融数据分析,65.60,机械工业出版社,400+
94,Python金融大数据分析,82.90,人民邮电出版社,26万+
95,父与子的编程之旅：与小卡特一起学Python,55.00,人民邮电出版社,3.3万+
96,Python程序员面试宝典 剑指offer,85.30,中国水利水电出版社,4万+
97,Python数据科学手册,86.10,人民邮电出版社,2.1万+
98,Python编程从入门到实践 python基础教程 零基础学Python3编程从入门到实践,54.20,友杰图书专营店,2400+
99,Python数据分析入门――从数据获取到可视化,56.10,电子工业出版社,1.9万+
100,Python机器学习（原书第2版）,84.60,机械工业出版社,5300+
101,Python数据可视化之matplotlib精进,65.60,电子工业出版社,1.9万+
102,编程的乐趣 用Python解算法谜题,56.10,人民邮电出版社,26万+
103,Python与量化投资：从基础到实战,94.10,电子工业出版社,2.5万+
104,Python科学计算(第2版)（附光盘）,112.10,清华大学出版社,4300+
105,Python量化交易实战,75.10,清华大学出版社,600+
106,Python自动化测试实战,66.30,电子工业出版社,500+
107,精通数据科学 从线性回归到深度学习,94.10,人民邮电出版社,2.1万+
108,Python核心编程（第2版）,80.10,人民邮电出版社,9800+
109,Python地理空间分析指南（第2版）,75.10,人民邮电出版社,1900+
110,自然语言处理Python进阶,56.10,机械工业出版社,1.1万+
111,Python 3快速入门与实战,75.10,机械工业出版社,1.7万+
112,Python数据分析基础,56.40,人民邮电出版社,3700+
113,跟着迪哥学Python数据分析与机器学习实战,84.60,人民邮电出版社,100+
114,贝叶斯思维 统计建模的Python学习法,41.00,人民邮电出版社,6500+
115,Python编程从入门到实践 python基础教程 零基础学Python,54.20,墨马图书旗舰店,5200+
116,Python GUI设计：tkinter菜鸟编程,63.40,清华大学出版社,100+
117,Django企业开发实战 高效Python Web框架指南,73.70,人民邮电出版社,4800+
118,趣学Python编程,42.80,人民邮电出版社,1700+
119,Python人脸识别：从入门到工程实践,65.60,机械工业出版社,1万+
120,Python数据结构与算法分析 第2版,66.20,人民邮电出版社,7.7万+
121,从零开始学Python数据分析（视频教学版）,65.60,机械工业出版社,600+
122,零起点Python大数据与量化交易,94.10,电子工业出版社,2.5万+
123,Python参考手册 第4版 修订版,80.10,人民邮电出版社,3100+
124,Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手,75.10,电子工业出版社,1.5万+
125,Python 新手学Django 2.0架站的16堂课（第2版）,94.10,清华大学出版社,400+
126,Python数据分析与数据化运营（第2版）,122.60,机械工业出版社,2800+
127,Python自动化运维快速入门,56.10,清华大学出版社,300+
128,青少年Python编程入门,42.80,人民邮电出版社,100+
129,码农翻身：用故事给技术加点料,60.70,电子工业出版社,8.9万+
130,Python自动化开发实战,65.60,清华大学出版社,200+
131,11招玩转网络安全：用Python，更安全,65.60,电子工业出版社,1.1万+
132,Python编程从入门到精通 项目开发视频学习版,75.10,人民邮电出版社,26万+
133,OpenCV 3计算机视觉：Python语言实现（原书第2版）,46.60,机械工业出版社,1万+
134,啊哈编程星球：一本书入门Python和C++,84.60,电子工业出版社,8.4万+
135,人人都懂设计模式：从生活中领悟设计模式（Python实现）,75.10,电子工业出版社,8.9万+
136,Python高效开发实战：Django、Tornado、Flask、Twisted（第2版）,94.10,电子工业出版社,1.1万+
137,Python量化交易：策略、技巧与实战,94.10,电子工业出版社,100+
138,Python微服务开发,56.10,清华大学出版社,5600+
139,Python数字信号处理应用,40.50,人民邮电出版社,700+
140,Python程序设计 第3版,65.60,人民邮电出版社,3300+
141,Web接口开发与自动化测试――基于Python语言,56.10,电子工业出版社,4600+
142,Python设计模式 第2版,35.10,人民邮电出版社,1500+
143,自动化平台测试开发：Python测试开发实战,65.60,电子工业出版社,1.5万+
144,Python自动化运维：技术与最佳实践,65.60,机械工业出版社,8000+
145,利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列,69.00,文轩网旗舰店,3100+
146,Python入门与实战,26.60,京东自营,70+
147,大话Python机器学习,85.30,中国水利水电出版社,4万+
148,Python王者归来,121.60,清华大学出版社,100+
149,Flask Web开发 基于Python的Web应用开发实战 第2版,56.40,人民邮电出版社,4800+
150,从Python开始学编程,46.60,电子工业出版社,1.1万+
151,Python3爬虫实战——数据清洗、数据分析与可视化,56.80,京东自营,90+
152,Python计算机视觉编程,56.40,人民邮电出版社,3500+
153,DK编程真好玩：9岁开始学Python （爱心树童书）,116.80,爱心树童书自营旗舰店,300+
154,Python深度学习实战：基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别,65.60,机械工业出版社,1.9万+
155,Python机器学习及实践：从零开始通往Kaggle竞赛之路,46.60,清华大学出版社,18万+
156,Python高性能编程,71.10,人民邮电出版社,3900+
157,Python数据科学：技术详解与商业实践,94.10,机械工业出版社,4.6万+
158,Python数据处理,80.90,人民邮电出版社,2300+
159,Python语言及其应用,64.50,人民邮电出版社,2100+
160,深入理解Python特性,38.60,人民邮电出版社,300+
161,Python数据可视化编程实战,44.10,人民邮电出版社,1900+
162,面向ArcGIS的Python脚本编程,44.10,人民邮电出版社,1000+
163,基于ArcGIS的Python编程秘笈（第2版）,65.60,人民邮电出版社,1500+
164,图解数据结构--使用Python,75.10,清华大学出版社,1200+
165,5本 深度学习+深度学习入门+Python编程基础+神经网络编程+TensorFlow 人工智能书籍,262.00,华心图书专营店,200+
166,Python 3.6零基础入门与实战,56.10,清华大学出版社,18万+
167,量化投资：以Python为工具,94.10,电子工业出版社,2.5万+
168,计算机科学丛书：Python语言程序设计,75.10,机械工业出版社,800+
169,Python地理数据处理,71.10,人民邮电出版社,800+
170,Python经典实例,113.60,人民邮电出版社,26万+
171,从零开始学Python网络爬虫,56.10,机械工业出版社,7600+
172,人工智能入门与实战 使用Raspberry Pi和Python演练,56.80,清华大学出版社,18万+
173,Python可以这样学,65.60,清华大学出版社,1100+
174,PySpark实战指南：利用Python和Spark构建数据密集型应用并规模化部署,46.60,机械工业出版社,2.9万+
175,Python Linux系统管理与自动化运维,84.60,机械工业出版社,1.8万+
176,Python网络编程（第3版）,64.50,人民邮电出版社,1600+
177,Python程序设计基础（第2版）（计算机系列教材）,38.10,清华大学出版社,500+
178,Python 3 面向对象编程（第2版）,94.10,电子工业出版社,1000+
179,Python数据可视化编程实战 第2版,62.10,人民邮电出版社,700+
180,正版零起点Python大数据与量化交易 电子工业出版社 何海,79.20,,0
181,Python数据可视化编程实战 第2版,62.10,人民邮电出版社,700+
182,【3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 pyt,158.00,墨马图书旗舰店,80+
183,自己动手写Python虚拟机,70.60,北京航空航天大学出版社,70+
184,Python设计模式,93.10,清华大学出版社,5600+
185,编程超有趣 奇妙Python轻松学 第1辑,62.10,人民邮电出版社,400+
186,包邮 Python数据分析与数据化运营 第2版 宋天龙|8060185,83.80,,10+
187,Python贝叶斯分析,62.10,人民邮电出版社,1000+
188,虫术——Python绝技,94.10,电子工业出版社,1.1万+
189,Python密码学编程,62.10,人民邮电出版社,800+
190,深度学习入门 基于Python的理论与实现+深度学习的数学+Python深度学习（套装共3册）,201.80,人民邮电出版社,100+
191,PYTHON基础教程(第三版),74.20,文轩网旗舰店,1300+
192,正版Python数据分析入门——从数据获取到可视化 电子工业出版社 沈祥壮,47.20,,0
193,跟老齐学Python 数据分析,75.10,电子工业出版社,6400+
194,Python程序设计基础,21.90,清华大学出版社,100+
195,Python快速编程入门,30.30,京东自营,2000+
196,Python编程 从入门到实践,65.80,文轩网旗舰店,1400+
197,Python与有限元--基于Python编程的有限元分析及应用扩展,54.10,中国水利水电出版社,4万+
198,正版Python量化交易 电子工业出版社 张杨飞,79.20,,0
199,Python真好玩：教孩子学编程（全彩印刷））,83.60,机械工业出版社,100+
200,Python程序设计与科学计算,44.10,人民邮电出版社,1.2万+
201,Python Django Web典型模块开发实战,94.10,京东自营,90+
202,Python网络编程（原书第2版）,103.60,机械工业出版社,2800+
203,PyQt5快速开发与实战,94.10,电子工业出版社,2.3万+
204,正版Python数据可视化之*tplotlib实践 电子工业出版社 刘大成,47.20,,0
205,scikit-learn机器学习（第2版）,56.10,人民邮电出版社,11万+
206,从零开始学Python（第2版）,62.10,人民邮电出版社,100+
207,零基础学编程：树莓派和Python,46.60,电子工业出版社,3900+
208,Python算法指南：程序员经典算法分析与实现/清华开发者书库,113.10,清华大学出版社,40+
209,Python编程与初级数学,37.10,电子工业出版社,10+
210,Python核心编程 第3版(第3版),61.90,文轩网旗舰店,1000+
211,Python深度学习,53.10,人民邮电出版社,11万+
212,Python机器学习实践：测试驱动的开发方法,40.00,机械工业出版社,4.6万+
213,Python网络爬虫从入门到实践,46.60,机械工业出版社,1700+
214,Head First 编程之旅（Python语言描述）,121.60,中国电力出版社,3.4万+
215,毫无障碍学Python,55.10,中国水利水电出版社,1000+
216,SQLAlchemy Python数据库实战 第2版,48.20,人民邮电出版社,70+
217,Odoo快速入门与实战：Python开发ERP指南,75.10,机械工业出版社,200+
218,利用Python开源工具分析恶意代码,80.90,人民邮电出版社,200+
219,Python+Spark 2.0+Hadoop机器学习与大数据实战,94.10,清华大学出版社,9900+
220,"对比Excel,轻松学习Python数据分析",38.40,,100+
221,Python3智能数据分析快速入门,113.10,机械工业出版社,4.6万+
222,Python编程从0到1（视频教学版）,75.10,机械工业出版社,10+
223,【5折特价 包邮】Python编程从入门到精通 零基础学编程基础教程编程 网络编程web开发大数据,39.80,人民邮电出版社官方旗舰店,100+
224,从零开始学Python数据分析与挖掘,75.10,清华大学出版社,800+
225,青少年学Python,71.10,人民邮电出版社,400+
226,现货包邮 Odoo快速入门与实战：Python开发ERP指南 刘金亮 计算机与互联网|8059543,51.30,,90+
227,Python零基础快乐学习之旅（K12实战训练）,56.10,清华大学出版社,10+
228,Python 3.x程序设计基础/计算机系列教材,39.40,清华大学出版社,40+
229,Python深度学习：基于PyTorch,78.30,京东自营,1.9万+
230,Python生物信息学数据管理,65.60,电子工业出版社,900+
231,Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,75.10,机械工业出版社,2800+
232,流畅的Python,100.80,,500+
233,Python全案例学习与实践,121.60,电子工业出版社,10+
234,Python语言程序设计基础(第2版)-嵩天、礼欣、黄天羽-高等教育出版社,28.50,蓝墨水图书专营店,400+
235,深度学习：基于Keras的Python实践,56.10,电子工业出版社,1.9万+
236,Python Flask Web开发入门与项目实战,94.10,机械工业出版社,70+
237,Keras深度学习实战,56.10,人民邮电出版社,11万+
238,Python学习手册 原书第5版(2册) +利用Python进行数据分析(pyt(原书第2版),230.40,文轩网旗舰店,50+
239,Python学习手册 原书第5版(2册) 华章图书 O'Reilly精品图书系列,138.00,文轩网旗舰店,600+
240,正版Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南python程序设计,66.00,凤凰新华书店旗舰店,1400+
241,Python机器学习,71.10,人民邮电出版社,500+
242,Python 3.7编程快速入门,56.10,清华大学出版社,60+
243,Python数据科学与机器学习 从入门到实践,65.60,人民邮电出版社,100+
244,实用卷积神经网络：运用Python实现高级深度学习模型,65.60,机械工业出版社,1.3万+
245,小小的Python编程故事,65.60,电子工业出版社,1.9万+
246,轻量级Django,37.10,中国电力出版社,3.4万+
247,实战深度学习算法：零起点通关神经网络模型（基于Python和NumPy实现）,75.10,电子工业出版社,2.7万+
248,Python爬虫开发与项目实战,75.10,机械工业出版社,7600+
249,Python科学计算最佳实践 SciPy指南,65.60,人民邮电出版社,200+
250,ABAQUS Python二次开发攻略 CAE分析大系,56.80,人民邮电出版社,1万+
251,Keras深度学习 人工智能机器学习技术丛书,71.80,中国水利水电出版社,4万+
252,Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,62.00,凤凰新华书店旗舰店,1200+
253,【预售11.11发货】基于Python的金融分析与风险管理 斯文著 科技金融大数据风控 量化交易,94.40,人民邮电出版社官方旗舰店,30+
254,Python程序设计,34.90,浙江大学出版社,100+
255,Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现,65.60,电子工业出版社,2.3万+
256,小天才学Python（教学指导）,39.90,清华大学出版社,200+
257,Python机器学习 预测分析核心算法,62.10,人民邮电出版社,1.3万+
258,Python程序设计基础,26.80,电子工业出版社,200+
259,Python 3.5从零开始学,56.10,清华大学出版社,18万+
260,Python数据科学手册,79.00,文轩网旗舰店,200+
261,Python和Pygame游戏开发指南,53.10,人民邮电出版社,800+
262,Python机器学习经典实例,48.20,人民邮电出版社,11万+
263,跟老齐学Python：Django实战（第2版）,75.10,电子工业出版社,400+
264,人工智能基础教程（Python篇青少版）,47.30,清华大学出版社,200+
265,Python程序员面试算法宝典,53.60,机械工业出版社,9300+
266,Python机器学习算法,65.60,电子工业出版社,2.3万+
267,神经网络与深度学习实战：Python+Keras+TensorFlow,103.60,京东自营,80+
268,Python：统计人的视角/统计数据分析与应用丛书,34.20,中国人民大学出版社,600+
269,精通特征工程,48.20,人民邮电出版社,1600+
270,Python数据分析,53.10,人民邮电出版社,2400+
271,正版 Python深度学习 deep learning深度学习 python人工智能机器学习经典教程,75.10,凤凰新华书店旗舰店,700+
272,深度学习案例精粹,84.60,人民邮电出版社,11万+
273,聊天机器人：入门、进阶与实战,75.10,京东自营,1.1万+
274,玩转Python网络爬虫,65.60,清华大学出版社,400+
275,程序员学Python,80.10,人民邮电出版社,1.2万+
276,Python网络爬虫从入门到实践,75.10,电子工业出版社,100+
277,Python机器学习,61.20,机械工业出版社,10+
278,深度强化学习原理与实践,94.10,人民邮电出版社,700+
279,Python快乐编程基础入门,47.00,清华大学出版社,10+
280,数据结构与算法：Python语言描述,36.90,机械工业出版社,3300+
281,Python数据挖掘入门与实践,48.20,人民邮电出版社,1300+
282,Python趣味编程入门与实战,75.10,京东自营,60+
283,Python机器学习实践指南,62.10,人民邮电出版社,1.3万+
284,Python渗透测试编程技术 方法与实践,65.60,清华大学出版社,300+
285,Python程序设计（原书第2版）,113.10,机械工业出版社,200+
286,"对比Excel,轻松学习Python数据分析",38.40,文轩网旗舰店,100+
287,Python Django开发实战（视频讲解版）,58.50,人民邮电出版社,40+
288,Python编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,65.90,凤凰新华书店旗舰店,400+
289,scikit learn机器学习：常用算法原理及编程实战,56.10,机械工业出版社,2200+
290,Python入门很简单,65.60,清华大学出版社,5
291,Python数据可视化,65.60,机械工业出版社,1100+
292,Python社会媒体挖掘,65.60,人民邮电出版社,100+
293,Python入门经典,35.10,人民邮电出版社,700+
294,疯狂Python讲义,76.70,文轩网旗舰店,50+
295,Python微控制器编程从零开始 使用MicroPython,47.30,清华大学出版社,1000+
296,PYTHON微服务开发,38.60,文轩网旗舰店,20+
297,Python机器学习算法: 原理、实现与案例,65.60,清华大学出版社,7
298,Python 并行编程手册,56.10,电子工业出版社,700+
299,Python物理建模初学者指南,53.10,人民邮电出版社,400+
300,面向自然语言处理的深度学习：用Python创建神经网络,65.60,机械工业出版社,1.1万+
301,Python少儿趣味编程,65.60,人民邮电出版社,3
302,Keras快速上手：基于Python的深度学习实战,75.10,电子工业出版社,1.9万+
303,Python和NLTK自然语言处理,124.20,人民邮电出版社,400+
304,深入理解神经网络 从逻辑回归到CNN,74.50,人民邮电出版社,100+
305,Python语言程序设计,37.10,电子工业出版社,100+
306,人工智能极简编程入门（基于Python）,65.60,机械工业出版社,100+
307,Python趣味编程入门,44.10,人民邮电出版社,200+
308,Python应用开发实战,71.10,人民邮电出版社,300+
309,精通Python自然语言处理,53.10,人民邮电出版社,1100+
310,我的Python世界 玩《Minecraft我的世界》学Python编程,62.10,人民邮电出版社,400+
311,基于深度学习的自然语言处理+Python自然语言处理实战 套装共2册,131.10,机械工业出版社,1.1万+
